"Code","Name"
"UC_37","PAH (total of 4 components, sum of EM_AIR.43, 45, 46, 47)(Unregistered)"
"UC_38","Benzene(Unregistered)"
"UC_39","1,3 Butadiene(Unregistered)"
"UC_40","Formaldehyd(Unregistered)"
"UC_41","PM2.5(Unregistered)"
"UC_42","Furans(Unregistered)"
"UC_43","Benzo-[a]-pyrene(Unregistered)"
"UC_44","PBDEs(Unregistered)"
"UC_45","Benzo-[b]-fluoranthene(Unregistered)"
"UC_46","Benzo-[k]-fluoranthene(Unregistered)"
"UC_47","Indeno-[1,2,3-cd]-pyrene(Unregistered)"
"UC_48","HCB(Unregistered)"
"UC_49","PCDD/F (dioxins and furans)(Unregistered)"
"UC_50","TSP (total suspended particulate)(Unregistered)"
"UC_51","N(Water_Unregistered)"
"UC_52","P(Unregistered)"
"UC_53","BOD(Unregistered)"
"UC_54","N(Soil_Unregistered)"
"UC_55","P(Unregistered)"
"UC_56","Cd(Unregistered)"
"UC_57","Cu(Unregistered)"
"UC_58","Zn(Unregistered)"
"UC_59","Pb(Unregistered)"
"UC_60","Hg(Unregistered)"
"UC_61","Cr(Unregistered)"
"UC_62","Ni(Unregistered)"
"UC_63","C(Unregistered)"
"UC_64","other emissions(Unregistered)"
"UC_65","Carbon dioxide, biogenic(Unregistered)"
"UC_66","Other emissions nec(Unregistered)"
"AC_1","Carbon dioxide, fossil(Avoided)"
"AC_2","N2O(Avoided)"
"AC_3","CH4(Avoided)"
"AC_4","HFCs(Avoided)"
"AC_5","PFCs(Avoided)"
"AC_6","SF6(Avoided)"
"AC_7","NOX (Avoided)"
"AC_8","SOx(Avoided)"
"AC_9","NH3(Avoided)"
"AC_10","NMVOC(Avoided)"
"AC_11","CO (Avoided)"
"AC_12","CFCs(Avoided)"
"AC_13","HCFCs(Avoided)"
"AC_14","Pb(Avoided)"
"AC_15","Cd(Avoided)"
"AC_16","Hg(Avoided)"
"AC_17","As(Avoided)"
"AC_18","Cr(Avoided)"
"AC_19","Cu(Avoided)"
"AC_20","Ni(Avoided)"
"AC_21","Se(Avoided)"
"AC_22","Zn(Avoided)"
"AC_23","Aldrin(Avoided)"
"AC_24","Chlordane(Avoided)"
"AC_25","Chlordecone(Avoided)"
"AC_26","Dieldrin(Avoided)"
"AC_27","Endrin(Avoided)"
"AC_28","Heptachlor(Avoided)"
"AC_29","Hexabr.-biph.(Avoided)"
"AC_30","Mirex(Avoided)"
"AC_31","Toxaphene(Avoided)"
"AC_32","HCH(Avoided)"
"AC_33","DDT(Avoided)"
"AC_34","PCB(Avoided)"
"AC_35","dioxin(Avoided)"
"AC_36","PM10(Avoided)"
"AC_37","PAH (total of 4 components, sum of EM_AIR.43, 45, 46, 47)(Avoided)"
"AC_38","Benzene(Avoided)"
"AC_39","1,3 Butadiene(Avoided)"
"AC_40","Formaldehyd(Avoided)"
"AC_41","PM2.5(Avoided)"
"AC_42","Furans(Avoided)"
"AC_43","Benzo-[a]-pyrene(Avoided)"
"AC_44","PBDEs(Avoided)"
"AC_45","Benzo-[b]-fluoranthene(Avoided)"
"AC_46","Benzo-[k]-fluoranthene(Avoided)"
"AC_47","Indeno-[1,2,3-cd]-pyrene(Avoided)"
"AC_48","HCB(Avoided)"
"AC_49","PCDD/F (dioxins and furans)(Avoided)"
"AC_50","TSP (total suspended particulate)(Avoided)"
"AC_51","N(Water_Avoided)"
"AC_52","P(Avoided)"
"AC_53","BOD(Avoided)"
"AC_54","N(Soil_Avoided)"
"AC_55","P(Avoided)"
"AC_56","Cd(Avoided)"
"AC_57","Cu(Avoided)"
"AC_58","Zn(Avoided)"
"AC_59","Pb(Avoided)"
"AC_60","Hg(Avoided)"
"AC_61","Cr(Avoided)"
"AC_62","Ni(Avoided)"
"AC_63","C(Avoided)"
"AC_64","other emissions(Avoided)"
"AC_65","Carbon dioxide, biogenic(Avoided)"
"AC_66","Other emissions nec(Avoided)"
